Quarter,Day,Trips
Q1,Saturday,33543
Q1,Sunday,27693
Q1,Monday,54430
Q1,Tuesday,59079
Q1,Wednesday,66148
Q1,Thursday,63603
Q1,Friday,60206
Q2,Saturday,80768
Q2,Sunday,70939
Q2,Monday,119012
Q2,Tuesday,144571
Q2,Wednesday,146929
Q2,Thursday,143888
Q2,Friday,128186
Q3,Saturday,77509
Q3,Sunday,81893
Q3,Monday,125235
Q3,Tuesday,128718
Q3,Wednesday,128879
Q3,Thursday,124184
Q3,Friday,108540
Q4,Saturday,46163
Q4,Sunday,40555
Q4,Monday,101307
Q4,Tuesday,106143
Q4,Wednesday,105506
Q4,Thursday,97155
Q4,Friday,83621
